ID	Bees	Hive_ID	Material	Date_Harvest	Date_Extracted	lat_lon	Sequencing_Batch
A3-Pollen-2017-B2	Austroplebia australis	A3	Pollen	27/02/2017	14/02/2018	27°21'58.8"S 152°49'37.0"E	B2
A1-Pollen-2019-B2	Austroplebia australis	A1	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A2-Pollen-2019-B2	Austroplebia australis	A2	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A4-Pollen-2019-B2	Austroplebia australis	A4	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C1-Pollen-2019-B2	Tetragonula carbonaria	C1	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C2-Pollen-2019-B2	Tetragonula carbonaria	C2	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C3-Pollen-2019-B2	Tetragonula carbonaria	C3	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H4-Pollen-2019-B2	Tetragonula hockingsi	H4	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H5-Pollen-2019-B2	Tetragonula hockingsi	H5	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H6-Pollen-2019-B2	Tetragonula hockingsi	H6	Pollen	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C1-Honey-2019-B2	Tetragonula carbonaria	C1	Honey	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H4-Honey-2019-B2	Tetragonula hockingsi	H4	Honey	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H5-Honey-2019-B2	Tetragonula hockingsi	H5	Honey	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H6-Honey-2019-B2	Tetragonula hockingsi	H6	Honey	18/12/2019	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A3-Pollen-2018-B2	Austroplebia australis	A3	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A2-Pollen-2018-B2	Austroplebia australis	A2	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A1-Pollen-2018-B2	Austroplebia australis	A1	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C3-Pollen-2018-B2	Tetragonula carbonaria	C3	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C2-Pollen-2018-B2	Tetragonula carbonaria	C2	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C1-Pollen-2018-B2	Tetragonula carbonaria	C1	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H3-Pollen-2018-B2	Tetragonula hockingsi	H3	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
H1-Pollen-2018-B2	Tetragonula hockingsi	H1	Pollen	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A3-Honey-2018-B2	Austroplebia australis	A3	Honey	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A2-Honey-2018-B2	Austroplebia australis	A2	Honey	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
A1-Honey-2018-B2	Austroplebia australis	A1	Honey	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
C3-Honey-2018-B2	Tetragonula carbonaria	C3	Honey	1/03/2018	25/02/2020	27°21'58.8"S 152°49'37.0"E	B2
