ID	Name	Bees	Hive_ID	Material	Date_Harvest	Date_Extracted	lat_lon	Replicate	Sequencing_Batch	New_ID
FlaviaM-16S-3	FlaviaM-16S-3	Austroplebia australis	A3	Pollen	27/02/2017	14/02/2018	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A3_Pollen_2017_B2
FlaviaM-16S-10	FlaviaM-16S-10	Austroplebia australis	A1	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A1_Pollen_2019_B2
FlaviaM-16S-11	FlaviaM-16S-11	Austroplebia australis	A2	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A2_Pollen_2019_B2
FlaviaM-16S-12	FlaviaM-16S-12	Austroplebia australis	A4	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A4_Pollen_2019_B2
FlaviaM-16S-13	FlaviaM-16S-13	Tetragonula carbonaria	C1	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C1_Pollen_2019_B2
FlaviaM-16S-14	FlaviaM-16S-14	Tetragonula carbonaria	C2	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C2_Pollen_2019_B2
FlaviaM-16S-15	FlaviaM-16S-15	Tetragonula carbonaria	C3	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C3_Pollen_2019_B2
FlaviaM-16S-16	FlaviaM-16S-16	Tetragonula hockingsi	H4	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H4_Pollen_2019_B2
FlaviaM-16S-17	FlaviaM-16S-17	Tetragonula hockingsi	H5	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H5_Pollen_2019_B2
FlaviaM-16S-18	FlaviaM-16S-18	Tetragonula hockingsi	H6	Pollen	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H6_Pollen_2019_B2
FlaviaM-16S-22	FlaviaM-16S-22	Tetragonula carbonaria	C1	Honey	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C1_Honey_2019_B2
FlaviaM-16S-25	FlaviaM-16S-25	Tetragonula hockingsi	H4	Honey	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H4_Honey_2019_B2
FlaviaM-16S-26	FlaviaM-16S-26	Tetragonula hockingsi	H5	Honey	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H5_Honey_2019_B2
FlaviaM-16S-27	FlaviaM-16S-27	Tetragonula hockingsi	H6	Honey	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H6_Honey_2019_B2
FlaviaM-16S-28	FlaviaM-16S-28	Austroplebia australis	A3	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A3_Pollen_2018_B2
FlaviaM-16S-29	FlaviaM-16S-29	Austroplebia australis	A2	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A2_Pollen_2018_B2
FlaviaM-16S-30	FlaviaM-16S-30	Austroplebia australis	A1	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A1_Pollen_2018_B2
FlaviaM-16S-31	FlaviaM-16S-31	Tetragonula carbonaria	C3	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C3_Pollen_2018_B2
FlaviaM-16S-32	FlaviaM-16S-32	Tetragonula carbonaria	C2	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C2_Pollen_2018_B2
FlaviaM-16S-33	FlaviaM-16S-33	Tetragonula carbonaria	C1	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C1_Pollen_2018_B2
FlaviaM-16S-34	FlaviaM-16S-34	Tetragonula hockingsi	H3	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H3_Pollen_2018_B2
FlaviaM-16S-36	FlaviaM-16S-36	Tetragonula hockingsi	H1	Pollen	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H1_Pollen_2018_B2
FlaviaM-16S-37	FlaviaM-16S-37	Austroplebia australis	A3	Honey	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A3_Honey_2018_B2
FlaviaM-16S-38	FlaviaM-16S-38	Austroplebia australis	A2	Honey	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A2_Honey_2018_B2
FlaviaM-16S-39	FlaviaM-16S-39	Austroplebia australis	A1	Honey	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A1_Honey_2018_B2
FlaviaM-16S-40	FlaviaM-16S-40	Tetragonula carbonaria	C3	Honey	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C3_Honey_2018_B2
FlaviaM-16S-41	FlaviaM-16S-41	Tetragonula carbonaria	C2	Honey	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C2_Honey_2018_B2
